Lagoa,Ano,Mes,Mes.,Mes.num,Mes.ano,Prof.m,Cod.Prof,pH,cond.uS.cm,turb.NTU,OD.mg.L,Temp.oC,TDS.mg.L,Redoxe,Alc.meq.L,Chla.ug.L,P-tot.ug.L,PO4.ug.L,N-tot.ug.L,NH4.ug.L,NO3.ug.L,NO2.ug.L,Silicato.mg.L,Obs
JA,2000,julho,jul,7,7_2000,6,1,5.97,32,,5.3,21.3,,,0.03,16.038,27.58,6.502,841,99.97,17.412,2.358,3.028,
JA,2000,julho,jul,7,7_2000,7,0,5.84,39,,5.02,21.3,,,0.03,18.2655,29.7,4.074,797.6,131.6,9.344,2.096,3.929,
AC,2000,julho,jul,7,7_2000,0,100,6.72,33,,8.78,22.1,,,0.03,21.049875,18.39,9.48,763.15,25.61,0.67,1.51,0.56,
AC,2000,julho,jul,7,7_2000,1.5,10,6.32,33,,8.96,21.9,,,0.03,30.294,22.38,5.06,556.55,13.47,2.57,1.51,0.5235,
AC,2000,julho,jul,7,7_2000,4.5,1,6.46,33,,8.57,21.8,,,0.03,33.858,11.61,6.1,554.3,6.77,5.711,2.089,0.563,
AC,2000,julho,jul,7,7_2000,6.5,0,6.18,33,,8.39,21.8,,,0.03,29.8485,29.5,4.068,957.8,1.34,4.85,1.04,0.53,
AM,2000,julho,jul,7,7_2000,0,100,6.33,61,,3.31,19.2,,,0.07,6.1479,17.29,10,660.15,2.63,4.176,4.19,1.344,
AM,2000,julho,jul,7,7_2000,0.7,10,6.3,59,,2.56,18.7,,,0.06,24.057,22.63,8.49,806.4,3.61,4.08,4.57,1.341,
AM,2000,julho,jul,7,7_2000,1,1,6.23,59,,3.03,18.6,,,0.07,8.353125,21.93,8.7,975.1,22.05,0.88,5.96,1.268,
AM,2000,julho,jul,7,7_2000,1.5,0,5.9,81,,1.78,18.5,,,0.07,32.076,25.37,7.27,1206.4,3.217,4.36,3.82,1.24,
PA,2000,julho,jul,7,7_2000,0,100,6.74,31,,7.44,24.7,,,0.03,25.839,9.134,0.493,1139,291.1,8.757,1.653,2.047,
PA,2000,julho,jul,7,7_2000,1.5,10,6.15,31,,7.2,22.7,,,0.03,27.621,10.479,0.493,1257,244.85,9.78,1.94,2.075,
PA,2000,julho,jul,7,7_2000,4,1,5.82,31,,5.42,21.6,,,0.03,34.749,13.23,1.481,798.85,319.45,14.583,1.757,2.078,
PA,2000,julho,jul,7,7_2000,5.5,0,5.65,31,,3.73,21.6,,,0.03,29.8485,15.54,0.41,1051.5,260.9,9.09,3.82,3.165,
BA,2000,julho,jul,7,7_2000,0,100,6.61,46,,5.14,22.1,,,0.05,25.839,19.91,1.646,819.7,511.8,8.928,1.783,3.437,
BA,2000,julho,jul,7,7_2000,1.5,10,6.05,46,,4.63,21.8,,,0.05,22.275,19.96,2.674,1194,432.65,16.413,1.887,3.359,
BA,2000,julho,jul,7,7_2000,4.5,1,6.04,46,,4.26,21.6,,,0.05,22.275,18.93,1.439,962.05,411.8,16.689,1.861,3.43,
BA,2000,julho,jul,7,7_2000,6,0,6.02,55,,4.2,21.6,,,0.05,21.384,19.83,1.81,814.5,458.45,4.937,2.097,3.416,
CA,2000,julho,jul,7,7_2000,0,100,6.5,25,,7.33,20.5,,,0.269,76.626,35.83,2.35,960.55,82.82,2.737,0.73,1.72,
CA,2000,julho,jul,7,7_2000,1.5,10,6.18,25,,6.25,20.4,,,0.28,69.498,29.83,3.137,1611,108.92,13.67,0.503,2.66,
CA,2000,julho,jul,7,7_2000,3,1,5.75,25,,5.63,20.4,,,0.267,65.934,31.57,2.97,2058,81.8,19.71,0.634,2.657,
CA,2000,julho,jul,7,7_2000,7,0,5.48,25,,5.72,20.4,,,0.271,66.3795,31.9,1.93,1505,78.18,3.43,0.731,2.2,
CA,2001,janeiro,jan,1,1_2001,0,100,6.45,27,,6.85,31.1,20,38,0.02,14.7015,10.44,0.903,213,5.011,7.096,0.776,1.722,
CA,2001,janeiro,jan,1,1_2001,0.5,,6.4,27,,6.81,31,20,39,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,1,,6.43,27,,6.83,30.8,20,40,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,1.5,,6.38,27,,6.84,30.5,20,35,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,2,,6.38,28,,6.93,30.1,20,32,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,2.5,10,6.31,28,,6.89,30,20,32,0.02,23.166,10.85,2.296,389.6,15.23,2.034,0.589,1.642,
CA,2001,janeiro,jan,1,1_2001,3,,6.26,28,,6.82,30,20,31,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,3.5,,6.24,28,,6.77,29.9,20,29,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,4,,6.09,28,,6.14,29.6,90,-24,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,4.5,,6.12,28,,6.13,29.4,90,-61,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,5,,6.39,28,,5.19,28.3,,-110,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,5.5,,6.03,28,,5.48,26.3,110,-173,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,6,,5.96,28,,5.85,24.9,112,-176,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,6.5,,5.95,20,,6.2,23.5,113,-174,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,7,1,5.96,21,,6.43,22.8,114,-169,0.05,79.6554,22.38,0.787,1655.5,346.8,5.256,0.739,1.504,
CA,2001,janeiro,jan,1,1_2001,7.5,,5.94,21,,6.58,22.5,114,-167,,,,,,,,,,
CA,2001,janeiro,jan,1,1_2001,8,,5.93,21,,6.74,22.4,114,-163,,,,,,,,,,
